,company_index,name,category_list,funding_total_usd,status,region,funding_rounds,founded_at
637,333,A1 Software Group Inc (Selly Automotive),Android|Business Productivity|CRM|iOS|iPad|iPhone|Mobile|Point of Sale|Productivity Software,20000,1,North America,2,2014-01-01
639,334,A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,118000000,2,North America,4,2004-10-01
640,335,A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,502860000,2,North America,8,2001-01-01
647,336,A8 Digital Music,Music,50000000,2,Asia,2,2000-01-01
651,337,AAIPharma Services,Biotechnology,20000000,1,North America,1,1979-01-01
652,338,AALegal Cash Advance,Finance|Venture Capital,160000,1,North America,1,2009-06-16
653,339,AAMPP,Music|Social Network Media,350000,1,North America,1,2000-05-31
654,340,Aarden Pharmaceuticals,Biotechnology,500000,0,North America,1,2008-01-01
655,341,Aardvark,Search,6000000,1,North America,2,2007-07-01
659,342,Aasaanjobs,Consulting|Recruiting,3100000,1,Asia,2,2014-11-01
660,343,Aasonn,Human Resources,20000000,1,North America,1,2006-01-01
661,344,Aastrom Biosciences,Biotechnology,40000000,2,North America,1,1989-01-01
663,345,aaTag,Social Media,442457,1,South America,3,2010-06-01
664,346,Aava Mobile,Mobile,4260000,1,Europe,1,2009-01-01
667,347,AB Group,Service Providers|Software,4845819,1,North America,1,2010-01-01
671,348,ABA English,EdTech|Education,3356695,1,Europe,1,2007-01-01
673,349,Abacast,Analytics,500000,1,North America,1,2000-04-02
674,350,Abacus e-Media,Software,3409315,1,Europe,1,1977-01-01
675,351,Abacus,SaaS|Software,3500000,1,North America,2,2013-01-01
677,352,Abakan,Clean Technology,4211031,1,North America,6,2006-01-01
678,353,Abakus,Advertising|Advertising Platforms|Optimization|Software,825000,1,North America,1,2013-01-01
679,354,Tunepresto,Music|Video Editing|Web Development,263400,0,Europe,1,2008-01-01
680,355,Abaris,Finance|Finance Technology|Financial Services|FinTech|Insurance|Personal Finance|Software,720000,1,North America,2,2014-05-01
682,356,ABARTA Oil & Gas,Oil & Gas,24750000,1,North America,1,1979-01-01
683,357,Abattis Bioceuticals,Biotechnology,400988,2,North America,3,1997-09-29
684,358,Abaxia,Software,1770000,1,Europe,1,2001-01-01
685,359,abaXX Technology,Software,4540000,1,Europe,1,1999-01-01
686,360,Abazab,Curated Web,4400000,0,North America,2,1997-01-01
687,361,ABB,Automotive|Clean Technology|Energy|Technology,2700000,2,Europe,1,1988-01-01
689,362,Abbey House Media,Audiobooks|Bridging Online and Offline|E-Books,600000,1,North America,1,2006-01-01
691,363,AbbeyPost,E-Commerce|Fashion|Women,875000,1,North America,5,2014-04-01
692,364,Abboom,Apps|Social Network Media,900000,1,Asia,1,2013-12-12
693,365,Abbott Labs,Biotechnology|Health and Wellness|Medical|Venture Capital,6790000,2,North America,2,1991-01-01
694,366,ABBYY,Communications Infrastructure|Data Visualization|Software,6000000,1,Europe,1,1989-01-01
695,367,ABBYY Language Services,Business Services,375000,1,Europe,1,2004-01-01
697,368,ABC Live,Advertising,25000,0,Asia,1,2007-12-05
698,369,ABC Management,Real Estate,20000,1,North America,1,2013-01-01
699,370,Abcam,Biotechnology|Events,78799653,1,Europe,2,1998-01-01
700,371,abcdexperts,B2B|Marketplaces|Services|Social Media,147000,1,North America,1,2009-10-30
701,372,AbCelex Technologies,Biotechnology,2000000,1,North America,1,2010-01-01
702,373,Abcellute,Biotechnology,805908,0,Europe,1,2001-01-01
703,374,Abcodia,Biotechnology,10207905,1,Europe,4,2010-01-01
710,375,Abeona Therapeutics,Biotechnology,12850000,1,North America,3,2013-01-01
711,376,Abe's Market,E-Commerce,19148000,1,North America,5,2009-09-01
713,377,AbGenomics,Biotechnology,39610000,1,North America,3,2000-06-01
715,378,Abide Therapeutics,Biotechnology,2250180,1,North America,1,2011-01-01
717,379,Abigail Stewart,Fashion,60000,1,North America,1,2010-01-15
718,380,Ability Dynamics,Health Care,1500000,1,North America,1,2009-01-01
719,381,ABILITY Network,Health Care,583000000,1,North America,4,2000-01-01
720,382,AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,21000000,1,North America,3,2008-01-01
722,383,Abine,Curated Web|Privacy,6467283,1,North America,1,2008-01-01
723,384,Abingdon Health,Health Care|Health Diagnostics,12853396,1,Europe,3,2008-01-01
724,385,aBioBot,Biotechnology|Robotics|Technology,50000,1,North America,1,2015-01-01
726,386,Abionic,Biotechnology|Medical|Nanotechnology,3986362,1,Europe,1,2010-01-01
728,387,Abiquo Group,Cloud Computing|Cloud Infrastructure|Cloud Management|M2M|Open Source|Software|Virtualization|Web Hosting,26898770,1,North America,10,2010-01-01
729,388,aBIZinaBOX,Accounting|Consulting|CRM|Marketing Automation|Project Management,500000,1,North America,1,1998-08-17
731,389,ABL Farms,Sales and Marketing,150000,1,North America,1,2009-09-09
733,390,Ablative Solutions,Biotechnology,42980577,1,North America,7,2011-01-01
734,391,Able Lending,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,17500000,1,North America,4,2014-01-01
737,392,Able Planet,Hardware + Software,12005448,1,North America,5,2005-01-01
739,393,AbleSky,Software,1273000,1,North America,1,2007-01-01
740,394,Ablexis,Biotechnology,12000000,1,North America,1,2009-01-01
741,395,ablio,Local|Services|Translation,250000,1,North America,1,2014-07-01
742,396,Abloomy,Big Data|Cloud Computing|Infrastructure|Mobile|Wireless,3000000,1,Asia,1,2008-08-01
743,397,Ablynx,Biotechnology,186036236,2,Europe,6,2001-01-01
744,398,ABO Data,Enterprise Software,1000000,1,North America,1,1979-01-01
745,399,abode,Home Automation|Home Owners|Security,1000000,1,North America,1,2014-01-28
746,400,ABODO,Real Estate|Search,2518000,1,North America,4,2011-01-03
747,401,Abound Logic,Design|Manufacturing|Semiconductors,3705137,1,North America,1,1993-01-01
749,402,Abound Solar,Clean Technology|Solar,510000000,0,North America,2,2007-01-01
752,403,aboutLife,Big Data|Consumers|Personal Finance|Retirement,3000000,1,North America,2,2013-01-01
753,404,about.me,Curated Web|Identity|Identity Management,17087500,1,North America,3,2013-02-05
755,405,AboutOne,Contact Management|Curated Web|Events,4439407,1,North America,6,2010-06-01
757,406,AboutUs.org,Curated Web,7618249,1,North America,3,2006-01-01
758,407,Above All Software,Software,13600000,1,North America,2,2002-01-01
759,408,Above Security,Information Security|Security,1737170,1,Europe,1,1999-06-01
760,409,ABOVE Solutions,Software,450000,1,North America,1,2008-07-01
762,410,ABPathfinder,Health and Wellness,2810000,1,North America,3,2010-06-01
763,411,Abra,Financial Services,14000000,1,North America,2,2014-01-01
765,412,AbraResto,Content Discovery|Hospitality|Restaurants|Social Media Platforms,1500000,1,Asia,1,2012-01-01
768,413,Abril,Advertising|Digital Media|Education|Media|News|Publishing,422000000,1,South America,1,1950-01-01
769,414,Abroad101,Education,50000,1,North America,1,2007-05-04
770,415,ABS,Health Care,132500,1,North America,1,2009-01-01
773,416,ABSMaterials,Clean Technology,4500000,1,North America,2,2008-01-01
774,417,Absolicon Solar Concentrator,Clean Technology|Energy|Oil,661000,1,Europe,1,2007-01-01
777,418,Absolute Commerce,Software,200000,1,North America,1,2012-01-01
778,419,Sportskeeda,Crowdsourcing|Curated Web|Sports,1220000,1,Asia,2,2010-05-16
782,420,Absynth Biologics,Biotechnology,1663801,1,Europe,2,2007-01-01
783,421,ABT Molecular Imaging,Health Care,28364818,1,North America,10,2006-01-01
784,422,Abtech Holdings,Engineering Firms|Environmental Innovation|Technology,1400000,2,North America,1,1995-01-01
787,423,Abundance Generation,Finance,4545754,1,Europe,1,2009-01-01
788,424,FashionAde.com (Abundant Closet),E-Commerce,60000,0,North America,1,2008-01-01
789,425,Abury,E-Commerce|Fashion|Lifestyle,45000,1,Europe,1,2011-01-01
790,426,abusix,B2B|Internet Service Providers|Security|Software,1300000,1,North America,1,2009-10-01
792,427,Abzena,Biotechnology,64640151,2,Europe,2,2002-01-01
795,428,AC Immune SA,Biotechnology,39279460,1,Europe,2,2003-01-01
796,429,A.C. Moore,E-Commerce,10000000,2,North America,1,1984-01-01
797,430,Acacia,Apps|Gamification|iOS|Mobile,15000,1,North America,1,2012-03-10
798,431,Acacia Communications,Web Hosting,23000000,1,North America,2,2009-01-01
799,432,Acacia Interactive,Software,762000,1,North America,1,2012-01-01
800,433,Acacia Living,Health and Wellness,2338650,1,North America,1,2010-01-01
801,434,Acacia Pharma,Biotechnology,33500000,1,Europe,2,2006-01-01
802,435,Acacia Research,Business Services|Intellectual Asset Management|Licensing,255100000,2,North America,3,1993-01-01
803,436,ACACIA Semiconductor,Semiconductors,368000,1,Europe,1,2003-01-01
804,437,Acacia Trading,Bitcoin|Cloud Computing|Trading,3300,1,North America,1,2014-01-01
805,438,Academia,Curated Web|EdTech|Education|Information Technology|Language Learning,11017508,1,Europe,1,2011-03-10
806,439,Academia.edu,Social Media,17800000,1,North America,4,2008-09-01
807,440,Academia RFID,Consulting,4499999,1,North America,1,2005-01-01
811,441,AcademixDirect,Advertising|Education|Lead Generation|Portals,10000000,1,North America,1,2004-01-01
815,442,Academy123,Education,2000000,1,North America,1,2004-01-01
817,443,AcadiaSoft,Finance,34000000,1,North America,2,2009-01-01
821,444,ACAL Energy,Clean Technology,16424363,1,Europe,3,2004-08-01
822,445,Acal Enterprise Solutions,Information Technology,10720178,1,Europe,1,1990-01-01
823,446,Acamica,EdTech|Education|Entrepreneur|Technology,142367,1,South America,3,2012-07-01
824,447,Acarix,Health Care,4710960,1,Europe,1,2009-01-01
825,448,Acast,Audio|Entertainment|Music|Social Media|Social Media Platforms,5000000,1,Europe,2,2013-10-10
826,449,ACB (India) Limited,Energy|Mining Technologies,25090000,1,Asia,1,1997-01-01
828,450,Acccess Technology Solutions,E-Commerce,25478613,1,North America,1,2002-01-01
829,451,Accedian Networks,Business Services|Enterprises|Mobile|Networking|Telecommunications,31040000,1,North America,3,2004-01-01
830,452,Accedo,Hardware + Software|Television,1270000,1,Europe,1,2004-01-01
831,453,Accel Diagnostics,Diagnostics|Health Care|Health Diagnostics|Medical Devices,25000,1,North America,3,2012-01-01
833,454,Accelalox,Biotechnology,430000,1,North America,1,2005-01-01
834,455,Accelario,Big Data|Databases|Information Technology,300000,1,Asia,1,2014-01-01
837,456,Accelera,Mobile|Technology|Wireless,3033472,1,North America,2,2009-01-01
839,457,Accelerate Diagnostics,Health Care|Health Diagnostics|Medical Devices,63016244,2,North America,4,2004-01-01
840,458,Accelerate Mobile Apps,Mobile,150000,1,North America,1,2009-01-01
841,459,Accelerated IO,Software,3255325,1,North America,2,1997-01-01
843,460,Accelerated Pharma,Pharmaceuticals,2549999,1,North America,2,2014-01-01
846,461,Accelerated Vision Group,Analytics,8500000,1,North America,2,2011-01-01
851,462,Accelerize New Media,Enterprise Software,4045500,2,North America,3,2005-01-01
852,463,Acceleron Pharma,Biotechnology,113701127,2,North America,6,2004-01-01
853,464,AccelGolf,Apps|Finance|Mobile|Sports,457282,0,North America,7,2008-08-01
854,465,Accelight Networks,Consumer Electronics|Electronics|Manufacturing,60000000,0,North America,1,1999-01-01
855,466,Accelitec,Software,5705841,1,North America,3,2001-01-01
857,467,Accellion,Enterprise Software|Security,13410901,1,North America,2,1999-01-01
858,468,Accellos,Logistics|Software|Storage|Supply Chain Management|Transportation,28500000,1,North America,2,2006-01-01
859,469,AccelOne,Software,225000,0,North America,1,2013-01-01
860,470,AccelOps,Analytics|Cloud Computing|Cloud Management|Networking|SaaS|Security|Virtualization,25000000,1,North America,2,2007-01-01
862,471,Accendo Technologies,Software,1560000,1,Asia,1,2002-01-01
863,472,Accendo Therapeutics,Health and Wellness,4000000,1,North America,1,2010-01-01
867,473,Accent Media Limited,Domains|Internet|Ticketing,9280000,1,Europe,4,2012-02-21
869,474,Accentia Biopharmaceuticals Inc,Biotechnology|Health and Wellness,775000,2,North America,2,2002-01-01
870,475,Accentium Web,Curated Web|Internet|Legal|Semantic Search|SEO,2000000,1,Asia,1,2007-07-25
871,476,Accenx Technologies,Software,4500000,1,North America,2,1997-01-01
872,477,Accept Software,Career Management|Software,25305000,1,North America,4,2002-01-01
873,478,Acceptd,Software,3020000,1,North America,3,2011-01-01
874,479,Accera,Biotechnology,138581610,1,North America,5,2001-01-01
875,480,Accertify,Credit Cards|Fraud Detection|Security,7131124,1,North America,3,2007-03-01
877,481,Access Closure,Health Care,13793098,1,North America,3,2002-01-01
879,482,Access Integrated Healthcare,Health and Wellness|Health Care|Services,58500000,1,North America,2,2014-10-01
881,483,Access Media 3,Security,30000000,1,North America,1,2007-01-01
882,484,Access MediQuip,Health Care,46900000,1,North America,1,1997-01-01
883,485,Access Mobile,Mobile,752500,1,North America,3,2010-01-01
884,486,Access Northeast,Cloud Computing|Data Centers|Networking|Services|Software|Web Hosting,1999998,1,North America,1,1999-01-01
886,487,Access Point,Advertising|Brand Marketing|Design|Web Design|Web Development,4500000,1,Europe,1,2008-08-22
887,488,Access Psychiatry Solutions,Biotechnology,250000,1,North America,1,2011-01-01
888,489,Access Scientific,Health Care,21376001,1,North America,6,2004-01-01
889,490,AccessSportsMedia.com,Advertising|Distribution|Mobile|Sales and Marketing|Social Media,24250000,1,North America,3,2003-01-01
893,491,AccessData,Enterprise Software,45000000,1,North America,2,1987-01-01
894,492,Inherited Health,Health and Wellness,1155000,1,North America,2,2007-11-01
896,493,Access Network,Advertising,3200000,1,North America,2,2008-01-01
899,494,Accio Energy,Clean Technology,4500000,1,North America,1,2007-01-01
900,495,Accion,Financial Services|Nonprofits|Social Fundraising,23000000,1,North America,2,1961-01-01
901,496,Accion Systems,Aerospace|Manufacturing|New Product Development,2000000,1,North America,1,2014-01-01
902,497,Accion Texas,Nonprofits,2800000,1,North America,1,1994-01-01
903,498,Accipiter,Advertising|Internet|Services,5500000,1,North America,3,1996-06-01
904,499,Accipiter Radar,Homeland Security|Security|Tracking,4700000,1,North America,1,1994-01-01
905,500,Accipiter Systems,Analytics,4979639,1,North America,4,2002-01-01
907,501,Acclaimd,Analytics|Career Management|Recruiting|Social Recruiting,90000,1,North America,2,2012-02-01
908,502,Acclarent,Biotechnology|Medical,35000000,1,North America,1,2004-06-01
909,503,Acclaris Holdings,Development Platforms|Health Care|Software,5000000,1,North America,1,2010-01-01
910,504,Acco Brands,Hardware + Software,10000000,2,North America,1,1947-01-01
912,505,ACCO Semiconductor,Semiconductors,33331814,1,North America,3,1994-01-01
913,506,Accolade,Health and Wellness|Health Care|Healthcare Services,96244444,1,North America,6,2007-01-01
915,507,Accompany,3D|Social Media|Technology,20600000,1,North America,2,2013-01-01
917,508,Accord Biomaterials,Biotechnology,1200000,1,North America,1,2008-01-01
919,509,Accordion Health,Big Data Analytics|Health Care Information Technology|SaaS,150000,0,North America,1,2014-05-14
920,510,Accountable,B2B|Cloud Computing|Enterprises|Health and Wellness|Health Care|Network Security|SaaS,158000,1,North America,2,2013-03-01
921,511,Accounting SaaS Japan,Cloud Computing|SaaS,8500000,1,Asia,2,2009-06-01
922,512,AccountNow,Credit|Finance|Financial Services|Personal Finance,34072000,1,North America,4,2003-01-01
924,513,Accreon,Software,5500000,1,North America,1,2008-01-01
925,514,Accriva Diagnostics,Medical Devices,15470704,1,North America,2,2010-01-01
927,515,Accruent,Enterprise Software,32000000,1,North America,2,1995-01-01
928,516,Accruit,Software,3315000,1,North America,1,2000-01-01
929,517,Accu-Break Pharmaceuticals,Biotechnology,6650000,1,North America,2,2001-01-01
930,518,AccuBuild IT,Construction,4000000,1,North America,2,1987-01-01
931,519,Accudial Pharmaceutical,Biotechnology,12024769,1,North America,3,2010-01-01
932,520,AccuDraft,Software,650000,1,North America,1,1992-01-01
933,521,Accuhealth Partners,Health and Wellness,760000,1,North America,1,2011-01-01
934,522,Accuitis,Health and Wellness,1495000,1,North America,2,2011-01-01
938,523,Accumen,Health Care|Hospitals,6700000,1,North America,1,2011-06-01
939,524,Accumetrics,Biotechnology,110640466,1,North America,9,1996-01-01
940,525,Accumulate,Mobile|Mobile Payments|Mobile Security|Security,12050000,1,Europe,4,2005-01-01
941,526,Accumuli Security,Content|Events|Security|Software|Training,8033458,1,Europe,1,1996-01-01
942,527,AccuNostics,Health Care|Health Diagnostics,6321095,1,Europe,1,2008-01-01
946,528,Accuradio,Internet Radio Market,2500000,1,North America,1,2001-04-01
948,529,Accurence,Software,4277507,1,North America,2,2005-01-01
949,530,AccuRev,Software,2100000,1,North America,1,1998-01-01
951,531,AccurIC,Hardware + Software,329695,1,Europe,1,2011-01-01
952,532,Accuris Networks,Mobile|Networking|Telecommunications,15000000,1,Europe,1,1998-01-01
954,533,Pegasus Imaging Corporation,Software,25000,1,North America,1,1991-01-01
956,534,Accutrainee,Legal|Outsourcing|Recruiting|Service Providers,195858,1,Europe,1,2011-01-01
957,535,Accuvant,Security,8198838,1,North America,4,2002-01-01
958,536,AccuVein,Hardware + Software,30500000,1,North America,2,2006-01-01
960,537,ACE,Biotechnology|Medical,1245092,1,North America,3,2006-01-01
961,538,ACE-Africa Courier Express,Consumer Goods|Content Delivery|Logistics,3715000,1,Africa,2,2013-11-04
962,539,ACE*COMM,Public Relations,5000000,1,North America,1,1983-01-01
965,540,ACE Health,Health and Wellness|Health Care|Health Care Information Technology|mHealth|Predictive Analytics,145562,1,Europe,2,2010-01-01
967,541,Ace Metrix,Advertising,24980307,1,North America,6,2007-01-01
968,542,ACE Portal,Finance|FinTech|Marketplaces|Nonprofits,75000,1,North America,1,2010-01-01
969,543,ACEA BIO,Biotechnology,30000000,1,North America,1,2002-01-01
970,544,Aceable,Education|Mobile Commerce|Technical Continuing Education,4700000,1,North America,2,2012-01-01
